epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.00659,0.65915,1.14442,1.10827,0.69435,0.62615,0.64994,0.55508,0.82287,1.39645,1.29026,7.228e-05,7.228e-05,7.228e-05
2,12.1069,0.45927,0.35051,0.91601,0.71057,0.60301,0.63801,0.53915,0.84225,1.52306,1.30318,0.000148634,0.000148634,0.000148634
3,16.1051,0.46797,0.32681,0.91604,0.72402,0.60067,0.63257,0.5549,0.83914,1.61165,1.32536,0.000223446,0.000223446,0.000223446
4,20.0357,0.4711,0.3395,0.91974,0.70366,0.63746,0.64514,0.55629,0.85853,1.65697,1.33994,0.000296718,0.000296718,0.000296718
5,24.0474,0.48215,0.36514,0.91631,0.63938,0.61775,0.61011,0.52957,0.88231,1.63863,1.33517,0.000368448,0.000368448,0.000368448
6,28.1126,0.48434,0.35645,0.92263,0.685,0.58305,0.5965,0.52533,0.83901,1.62957,1.30689,0.000438637,0.000438637,0.000438637
7,32.1382,0.47089,0.33505,0.91345,0.68038,0.62056,0.63703,0.54915,0.8014,1.60844,1.30044,0.000507284,0.000507284,0.000507284
8,36.1262,0.49104,0.36022,0.92098,0.63947,0.60547,0.62708,0.52994,0.85098,1.60166,1.32133,0.000517469,0.000517469,0.000517469
9,40.1067,0.49283,0.36212,0.92648,0.63298,0.63161,0.62162,0.54613,0.80473,1.67894,1.30438,0.000511965,0.000511965,0.000511965
10,44.112,0.48873,0.36665,0.91952,0.6825,0.57584,0.63732,0.54357,0.81755,1.46731,1.29753,0.00050646,0.00050646,0.00050646
11,48.1427,0.49391,0.37549,0.93923,0.70137,0.60872,0.638,0.54135,0.78608,1.52947,1.26403,0.000500956,0.000500956,0.000500956
12,52.157,0.51112,0.37429,0.9406,0.70498,0.62615,0.63337,0.5499,0.81934,1.60345,1.29982,0.000495452,0.000495452,0.000495452
13,56.1664,0.49148,0.35062,0.93319,0.66359,0.64995,0.63,0.54222,0.81068,1.70462,1.28593,0.000489947,0.000489947,0.000489947
14,60.1663,0.4783,0.34805,0.91839,0.67564,0.61348,0.63089,0.54387,0.80498,1.60945,1.28158,0.000484443,0.000484443,0.000484443
15,64.1448,0.47337,0.34081,0.91901,0.68821,0.65299,0.65228,0.57298,0.77635,1.58246,1.2518,0.000478938,0.000478938,0.000478938
16,68.1695,0.45972,0.32106,0.91098,0.74639,0.63424,0.62693,0.54708,0.79982,1.69312,1.27906,0.000473434,0.000473434,0.000473434
17,72.2171,0.47219,0.33087,0.91966,0.68078,0.61683,0.63371,0.54784,0.79474,1.76276,1.23984,0.00046793,0.00046793,0.00046793
18,76.2433,0.47521,0.31836,0.91014,0.62544,0.60771,0.59653,0.51685,0.79026,1.85401,1.21662,0.000462425,0.000462425,0.000462425
19,80.228,0.46302,0.31904,0.90332,0.62141,0.63038,0.61873,0.5298,0.81771,1.6022,1.25311,0.000456921,0.000456921,0.000456921
20,84.2661,0.45929,0.33484,0.90822,0.70752,0.62734,0.65997,0.57113,0.82521,1.67579,1.26395,0.000451416,0.000451416,0.000451416
21,88.2867,0.44488,0.3087,0.89316,0.66799,0.612,0.64433,0.55435,0.79611,1.75773,1.23223,0.000445912,0.000445912,0.000445912
22,92.2712,0.44489,0.31077,0.89921,0.67708,0.58882,0.62537,0.54117,0.76407,1.68143,1.21155,0.000440408,0.000440408,0.000440408
23,96.2692,0.43809,0.30718,0.89135,0.60156,0.63,0.62737,0.54521,0.76655,1.5751,1.22874,0.000434903,0.000434903,0.000434903
24,100.251,0.43485,0.30234,0.88616,0.63873,0.66894,0.64925,0.55417,0.76974,1.56826,1.24372,0.000429399,0.000429399,0.000429399
