epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.41336,1.14317,0.77733,1.55552,0.97533,0.94989,0.97203,0.89534,0.41779,0.25368,0.87346,6.116e-05,6.116e-05,6.116e-05
2,9.06822,0.91338,0.81726,1.25927,0.90764,0.96193,0.96643,0.74639,0.81989,0.36394,1.03809,0.000126614,0.000126614,0.000126614
3,11.5943,0.85574,0.55904,1.22623,0.92877,0.93499,0.96458,0.76726,0.72599,0.3502,0.9973,0.000190747,0.000190747,0.000190747
4,14.1931,0.77433,0.58214,1.13918,0.93107,0.92945,0.96018,0.7881,0.67303,0.34279,0.97034,0.000253559,0.000253559,0.000253559
5,16.7009,0.71979,0.49,1.08731,0.92189,0.93032,0.95678,0.76222,0.77327,0.36335,1.03386,0.00031505,0.00031505,0.00031505
6,19.203,0.69736,0.47648,1.06678,0.89273,0.93552,0.92121,0.73022,0.73283,0.36743,1.00183,0.000375219,0.000375219,0.000375219
7,21.6692,0.78207,0.57351,1.20674,0.89875,0.94445,0.95094,0.76847,0.69435,0.3559,0.98198,0.000434068,0.000434068,0.000434068
8,24.2338,0.67734,0.44329,1.04223,0.90613,0.92196,0.96015,0.79969,0.65095,0.34404,0.9778,0.000491596,0.000491596,0.000491596
9,26.7063,0.68517,0.44344,1.04035,0.95479,0.91343,0.95164,0.7654,0.72645,0.37243,1.00839,0.000511965,0.000511965,0.000511965
10,29.1454,0.64509,0.42002,1.03001,0.87553,0.94665,0.95937,0.76588,0.75341,0.37391,1.01617,0.00050646,0.00050646,0.00050646
11,31.6194,0.68839,0.44022,1.04848,0.94914,0.84304,0.95735,0.81352,0.61937,0.34073,0.96503,0.000500956,0.000500956,0.000500956
12,34.0731,0.67529,0.43555,1.04211,0.85407,0.94757,0.9511,0.81626,0.58505,0.34036,0.95782,0.000495452,0.000495452,0.000495452
13,36.5164,0.6647,0.41434,1.04913,0.90985,0.92076,0.95191,0.79983,0.64318,0.34692,0.98175,0.000489947,0.000489947,0.000489947
14,38.9837,0.63963,0.40883,1.02937,0.92318,0.89706,0.95164,0.78458,0.70081,0.3649,1.01047,0.000484443,0.000484443,0.000484443
15,41.4396,0.73795,0.55774,1.09663,0.90503,0.91801,0.95212,0.81077,0.56727,0.33586,0.94871,0.000478938,0.000478938,0.000478938
16,43.8826,0.71345,0.4564,1.09503,0.87889,0.91541,0.9175,0.74318,0.79029,0.37799,1.04632,0.000473434,0.000473434,0.000473434
17,46.3085,0.66266,0.4071,1.04981,0.8786,0.92876,0.92081,0.77461,0.62107,0.34615,0.96437,0.00046793,0.00046793,0.00046793
18,48.7601,0.6385,0.39204,1.01772,0.90064,0.93657,0.9571,0.79587,0.65001,0.34547,0.97164,0.000462425,0.000462425,0.000462425
19,51.2716,0.59364,0.39692,1.01616,0.91442,0.92821,0.95553,0.80928,0.60144,0.33428,0.96,0.000456921,0.000456921,0.000456921
20,53.8,0.60421,0.37637,0.9935,0.89342,0.93264,0.9562,0.8062,0.63868,0.33895,0.97567,0.000451416,0.000451416,0.000451416
21,56.2905,0.63461,0.4071,1.02128,0.86136,0.92908,0.91965,0.80063,0.54863,0.33434,0.94198,0.000445912,0.000445912,0.000445912
22,58.8334,0.61873,0.37441,0.98523,0.86527,0.92465,0.91663,0.77315,0.65646,0.36107,0.98002,0.000440408,0.000440408,0.000440408
23,61.293,0.63171,0.37845,1.01948,0.86047,0.91728,0.95292,0.80298,0.6378,0.34867,0.97527,0.000434903,0.000434903,0.000434903
24,63.737,0.59533,0.37245,0.98488,0.90555,0.89909,0.955,0.829,0.55291,0.32834,0.94105,0.000429399,0.000429399,0.000429399
25,66.2388,0.56682,0.35,0.9894,0.88103,0.92669,0.91551,0.77925,0.62787,0.3458,0.97352,0.000423894,0.000423894,0.000423894
26,68.71,0.65295,0.39109,1.03177,0.88205,0.91973,0.91836,0.78824,0.61043,0.34435,0.96964,0.00041839,0.00041839,0.00041839
27,71.212,0.5661,0.35077,0.96828,0.87602,0.91793,0.95407,0.81789,0.58676,0.34174,0.95352,0.000412886,0.000412886,0.000412886
28,73.6924,0.57408,0.35993,0.97197,0.90411,0.9199,0.94703,0.81677,0.55122,0.33249,0.94198,0.000407381,0.000407381,0.000407381
29,76.2002,0.61219,0.37275,1.00454,0.87778,0.9228,0.94357,0.77767,0.70167,0.37341,1.0028,0.000401877,0.000401877,0.000401877
30,78.6662,0.57014,0.35943,0.97908,0.87236,0.91983,0.94834,0.81242,0.55938,0.34136,0.94034,0.000396372,0.000396372,0.000396372
31,81.1527,0.59413,0.41207,0.9986,0.88972,0.92197,0.95272,0.81479,0.60218,0.34203,0.95354,0.000390868,0.000390868,0.000390868
32,83.6847,0.58167,0.34828,0.97229,0.90226,0.91912,0.94889,0.81629,0.61022,0.34268,0.96557,0.000385364,0.000385364,0.000385364
33,86.1858,0.56794,0.34896,0.98292,0.90867,0.91796,0.94967,0.829,0.5594,0.33695,0.93361,0.000379859,0.000379859,0.000379859
34,88.6403,0.67715,0.41801,1.0355,0.89525,0.92651,0.95135,0.83011,0.54913,0.33924,0.93435,0.000374355,0.000374355,0.000374355
35,91.116,0.53366,0.32541,0.9603,0.90672,0.91863,0.95199,0.8259,0.59506,0.34602,0.95494,0.00036885,0.00036885,0.00036885
36,93.5959,0.52052,0.32182,0.94131,0.83444,0.92824,0.95018,0.82437,0.56918,0.33595,0.95055,0.000363346,0.000363346,0.000363346
37,96.0652,0.53498,0.33127,0.97923,0.86778,0.92278,0.94867,0.82332,0.56912,0.33968,0.94429,0.000357842,0.000357842,0.000357842
38,98.5739,0.5373,0.32314,0.95659,0.89412,0.91437,0.94786,0.81387,0.60835,0.35578,0.96358,0.000352337,0.000352337,0.000352337
39,101.068,0.55077,0.32911,0.95895,0.8659,0.92701,0.95161,0.82206,0.56419,0.33807,0.9444,0.000346833,0.000346833,0.000346833
40,103.546,0.5494,0.3655,0.97487,0.84519,0.92986,0.91408,0.7996,0.55506,0.33991,0.94292,0.000341328,0.000341328,0.000341328
41,106.019,0.56583,0.40466,0.98947,0.83538,0.93082,0.94809,0.82391,0.58065,0.34597,0.94851,0.000335824,0.000335824,0.000335824
42,108.497,0.52083,0.31762,0.9405,0.86921,0.92585,0.94674,0.84401,0.54895,0.3368,0.9376,0.00033032,0.00033032,0.00033032
43,110.963,0.52597,0.3285,0.9304,0.85761,0.92208,0.94555,0.83733,0.53963,0.33942,0.93913,0.000324815,0.000324815,0.000324815
44,113.451,0.53309,0.33591,0.96173,0.84903,0.91501,0.90643,0.79626,0.56424,0.34946,0.95137,0.000319311,0.000319311,0.000319311
45,115.905,0.53932,0.33841,0.9517,0.83419,0.89311,0.91308,0.79785,0.57166,0.34867,0.94758,0.000313806,0.000313806,0.000313806
46,118.336,0.50097,0.31645,0.93703,0.8224,0.89702,0.91356,0.80786,0.5351,0.34096,0.93334,0.000308302,0.000308302,0.000308302
47,120.789,0.50329,0.30956,0.93391,0.94062,0.82808,0.90944,0.7966,0.55854,0.34764,0.93877,0.000302798,0.000302798,0.000302798
48,123.236,0.5122,0.38715,0.96899,0.94071,0.83583,0.91116,0.79718,0.56157,0.34378,0.94172,0.000297293,0.000297293,0.000297293
49,125.698,0.53693,0.31379,0.9634,0.94065,0.83198,0.9095,0.80496,0.52278,0.33116,0.92785,0.000291789,0.000291789,0.000291789
50,128.157,0.50157,0.30554,0.94013,0.9574,0.8175,0.91014,0.79547,0.57523,0.34292,0.94761,0.000286284,0.000286284,0.000286284
51,130.602,0.49894,0.2981,0.93076,0.95126,0.82675,0.9107,0.79509,0.55602,0.34617,0.93961,0.00028078,0.00028078,0.00028078
52,133.043,0.51011,0.31961,0.93269,0.96429,0.81448,0.90707,0.78922,0.57924,0.3562,0.954,0.000275276,0.000275276,0.000275276
53,135.5,0.53297,0.33041,0.93943,0.9467,0.8313,0.90663,0.78718,0.59585,0.35877,0.96084,0.000269771,0.000269771,0.000269771
54,137.904,0.52585,0.3241,0.95296,0.95145,0.82912,0.90862,0.7984,0.53817,0.34249,0.93068,0.000264267,0.000264267,0.000264267
55,140.349,0.47919,0.29845,0.93392,0.84926,0.8887,0.90963,0.79692,0.53663,0.34089,0.92918,0.000258762,0.000258762,0.000258762
56,142.815,0.4902,0.30994,0.93563,0.83501,0.89969,0.91178,0.7994,0.55795,0.34189,0.94357,0.000253258,0.000253258,0.000253258
57,145.256,0.51826,0.30873,0.92856,0.94518,0.83637,0.9107,0.80659,0.52158,0.32759,0.92815,0.000247754,0.000247754,0.000247754
58,147.691,0.479,0.29829,0.92754,0.94977,0.83071,0.91348,0.79823,0.56773,0.33925,0.94405,0.000242249,0.000242249,0.000242249
59,150.164,0.49963,0.32718,0.94354,0.95284,0.8288,0.94606,0.83416,0.53297,0.33854,0.9356,0.000236745,0.000236745,0.000236745
60,152.601,0.47488,0.30545,0.92709,0.86463,0.91835,0.94665,0.82377,0.52908,0.33796,0.93261,0.00023124,0.00023124,0.00023124
61,155.018,0.49842,0.36489,0.95563,0.92689,0.90749,0.94702,0.83175,0.51262,0.33062,0.9273,0.000225736,0.000225736,0.000225736
62,157.475,0.49306,0.31389,0.93229,0.93422,0.90679,0.94494,0.83135,0.51338,0.32631,0.93007,0.000220232,0.000220232,0.000220232
63,159.894,0.48076,0.29532,0.91689,0.93635,0.90369,0.94458,0.83065,0.53944,0.34025,0.94003,0.000214727,0.000214727,0.000214727
64,162.37,0.53386,0.35475,0.98483,0.91651,0.91562,0.9446,0.82834,0.53127,0.34201,0.93758,0.000209223,0.000209223,0.000209223
65,164.796,0.49676,0.29195,0.96207,0.87547,0.92217,0.94672,0.83243,0.52203,0.33692,0.93218,0.000203718,0.000203718,0.000203718
66,167.206,0.46965,0.31174,0.91962,0.85176,0.92643,0.94689,0.82795,0.53038,0.33807,0.93855,0.000198214,0.000198214,0.000198214
67,169.657,0.4482,0.28972,0.89648,0.82462,0.92475,0.94741,0.8114,0.56536,0.35109,0.9461,0.00019271,0.00019271,0.00019271
68,172.097,0.5172,0.32528,0.93168,0.86252,0.91959,0.9459,0.81735,0.54186,0.34742,0.93419,0.000187205,0.000187205,0.000187205
69,174.55,0.45157,0.28946,0.89895,0.88236,0.92043,0.94737,0.82139,0.52924,0.3466,0.93083,0.000181701,0.000181701,0.000181701
70,177.002,0.45482,0.2722,0.91063,0.88432,0.91982,0.94627,0.82032,0.56768,0.34999,0.94652,0.000176196,0.000176196,0.000176196
71,179.423,0.45919,0.29391,0.91114,0.86993,0.92523,0.94608,0.83311,0.51827,0.34081,0.9259,0.000170692,0.000170692,0.000170692
72,181.87,0.45696,0.27143,0.8992,0.8796,0.9222,0.94319,0.81239,0.56118,0.35321,0.94044,0.000165188,0.000165188,0.000165188
73,184.309,0.4471,0.29206,0.91225,0.88768,0.91972,0.94519,0.82021,0.51587,0.33922,0.92358,0.000159683,0.000159683,0.000159683
74,186.755,0.44472,0.29537,0.91543,0.88415,0.92116,0.94679,0.82233,0.52374,0.34368,0.92536,0.000154179,0.000154179,0.000154179
75,189.186,0.45128,0.27878,0.8991,0.85634,0.92621,0.94439,0.82661,0.52055,0.34423,0.92518,0.000148674,0.000148674,0.000148674
76,191.611,0.4752,0.31042,0.9249,0.86818,0.92497,0.94355,0.83068,0.52861,0.34297,0.93023,0.00014317,0.00014317,0.00014317
77,194.05,0.47819,0.28202,0.93082,0.9468,0.83817,0.94568,0.8281,0.51421,0.33641,0.92647,0.000137666,0.000137666,0.000137666
78,196.489,0.46263,0.27892,0.97487,0.95569,0.82977,0.94776,0.82432,0.52504,0.3376,0.93591,0.000132161,0.000132161,0.000132161
79,198.899,0.43283,0.26137,0.89609,0.95783,0.83087,0.94653,0.83145,0.50113,0.33433,0.92631,0.000126657,0.000126657,0.000126657
80,201.33,0.44764,0.27701,0.90153,0.95673,0.82758,0.94677,0.84164,0.50888,0.33695,0.92685,0.000121152,0.000121152,0.000121152
81,203.819,0.46539,0.27357,0.91962,0.93851,0.84019,0.94576,0.84478,0.5081,0.33106,0.92541,0.000115648,0.000115648,0.000115648
82,206.221,0.43893,0.26483,0.90461,0.95008,0.83063,0.94718,0.8452,0.5163,0.32916,0.93053,0.000110144,0.000110144,0.000110144
83,208.537,0.45545,0.27573,0.9141,0.94868,0.83239,0.94562,0.84686,0.49883,0.32493,0.92269,0.000104639,0.000104639,0.000104639
84,210.848,0.44257,0.26824,0.89062,0.95165,0.83472,0.94691,0.84498,0.51046,0.32767,0.92447,9.91348e-05,9.91348e-05,9.91348e-05
85,213.161,0.41847,0.25612,0.87646,0.95144,0.83052,0.94566,0.84617,0.50326,0.32898,0.92049,9.36304e-05,9.36304e-05,9.36304e-05
86,215.476,0.41302,0.26146,0.88105,0.94619,0.83213,0.94575,0.83885,0.52673,0.33712,0.92823,8.8126e-05,8.8126e-05,8.8126e-05
87,217.802,0.4211,0.26058,0.89149,0.94467,0.83023,0.94578,0.84843,0.50182,0.33041,0.91686,8.26216e-05,8.26216e-05,8.26216e-05
88,220.117,0.46342,0.28324,0.92432,0.94159,0.83004,0.94579,0.83756,0.50397,0.33093,0.91899,7.71172e-05,7.71172e-05,7.71172e-05
89,222.428,0.42234,0.25634,0.8888,0.95378,0.82516,0.94647,0.83124,0.53282,0.33729,0.92922,7.16128e-05,7.16128e-05,7.16128e-05
90,224.757,0.4992,0.28645,0.9369,0.86965,0.92743,0.94749,0.84398,0.51343,0.33095,0.92266,6.61084e-05,6.61084e-05,6.61084e-05
91,247.914,0.39231,0.2514,0.87515,0.86317,0.92777,0.94797,0.84234,0.51418,0.33149,0.9244,6.0604e-05,6.0604e-05,6.0604e-05
92,250.363,0.41873,0.25978,0.88974,0.86164,0.93065,0.94796,0.83248,0.52389,0.33301,0.92776,5.50996e-05,5.50996e-05,5.50996e-05
93,252.86,0.3953,0.24191,0.88216,0.86713,0.93016,0.94757,0.83628,0.51741,0.32976,0.92295,4.95952e-05,4.95952e-05,4.95952e-05
94,255.324,0.41638,0.25715,0.8929,0.86734,0.92847,0.9466,0.82745,0.52368,0.33161,0.92499,4.40908e-05,4.40908e-05,4.40908e-05
95,257.785,0.41259,0.25123,0.88116,0.8645,0.92856,0.94653,0.82503,0.52784,0.33154,0.92734,3.85864e-05,3.85864e-05,3.85864e-05
96,260.211,0.40423,0.24962,0.87817,0.85654,0.92799,0.94677,0.8353,0.51822,0.32862,0.92384,3.3082e-05,3.3082e-05,3.3082e-05
97,262.699,0.40209,0.24661,0.86196,0.85489,0.92799,0.94714,0.83433,0.52341,0.33132,0.92616,2.75776e-05,2.75776e-05,2.75776e-05
98,265.111,0.39102,0.24236,0.88595,0.86002,0.92799,0.9472,0.8334,0.52956,0.33166,0.92813,2.20732e-05,2.20732e-05,2.20732e-05
99,267.609,0.41585,0.25595,0.89135,0.85782,0.92799,0.9471,0.83488,0.52431,0.33004,0.92583,1.65688e-05,1.65688e-05,1.65688e-05
100,270,0.40655,0.2572,0.89197,0.85878,0.92799,0.94662,0.84177,0.52011,0.32935,0.92378,1.10644e-05,1.10644e-05,1.10644e-05
