epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.83835,1.15451,0.81817,1.55618,0.71311,0.63703,0.63562,0.51883,0.95705,1.44683,1.37175,7.228e-05,7.228e-05,7.228e-05
2,7.48486,0.86574,0.60737,1.2079,0.65302,0.62299,0.64197,0.48245,1.09123,1.43648,1.44102,0.000148634,0.000148634,0.000148634
3,10.1329,0.76293,0.51202,1.12321,0.66128,0.58133,0.63465,0.47773,1.14385,1.5416,1.49401,0.000223446,0.000223446,0.000223446
4,12.773,0.70552,0.43341,1.07178,0.72317,0.60852,0.65561,0.49802,1.09131,1.56265,1.45034,0.000296718,0.000296718,0.000296718
5,15.3285,0.73737,0.4695,1.09002,0.72108,0.59341,0.62342,0.4492,1.19751,1.63483,1.4976,0.000368448,0.000368448,0.000368448
6,17.8793,0.71251,0.43055,1.07416,0.67589,0.59877,0.63872,0.47678,1.14083,1.5406,1.4879,0.000438637,0.000438637,0.000438637
7,20.3808,0.70059,0.41204,1.06097,0.69283,0.6024,0.63179,0.49022,1.06174,1.5255,1.41981,0.000507284,0.000507284,0.000507284
8,22.8801,0.68822,0.42868,1.06648,0.71632,0.57276,0.62697,0.49954,0.99724,1.64991,1.38891,0.000517469,0.000517469,0.000517469
9,25.403,0.66162,0.41734,1.04028,0.72742,0.5514,0.61357,0.48491,1.0202,1.71161,1.4467,0.000511965,0.000511965,0.000511965
10,27.9124,0.65213,0.40206,1.03519,0.67855,0.59826,0.60761,0.47964,1.07467,1.7058,1.49609,0.00050646,0.00050646,0.00050646
11,30.4165,0.65427,0.41392,1.0516,0.63949,0.6182,0.61273,0.48073,1.06118,1.6835,1.43612,0.000500956,0.000500956,0.000500956
12,32.9701,0.64267,0.40401,1.03744,0.69192,0.63048,0.62074,0.48182,1.08652,1.70423,1.43112,0.000495452,0.000495452,0.000495452
13,35.4876,0.65086,0.39559,1.0394,0.69584,0.59219,0.60904,0.48426,1.04496,1.6886,1.40077,0.000489947,0.000489947,0.000489947
14,38.0232,0.6266,0.38112,1.01955,0.70424,0.63028,0.61026,0.48236,0.99298,1.7045,1.36658,0.000484443,0.000484443,0.000484443
15,40.5441,0.61485,0.37581,1.01682,0.74858,0.58144,0.6252,0.50525,0.98899,1.76291,1.40133,0.000478938,0.000478938,0.000478938
16,43.2456,0.61053,0.35682,1.00756,0.70693,0.59828,0.62842,0.49175,1.01347,1.70449,1.40642,0.000473434,0.000473434,0.000473434
17,45.7814,0.59579,0.36458,1.00208,0.66017,0.63997,0.62552,0.50098,0.9442,1.70419,1.35253,0.00046793,0.00046793,0.00046793
18,48.316,0.62707,0.36676,1.02026,0.66425,0.62169,0.62286,0.50696,0.90701,1.69001,1.36439,0.000462425,0.000462425,0.000462425
