epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.97405,1.27693,3.9408,1.35562,0.03964,0.25326,0.06094,0.04856,0.97339,3.8912,1.1479,0.00012232,0.00012232,0.00012232
2,4.77782,1.20182,3.15276,1.2863,0.03588,0.48802,0.17749,0.14883,1.03059,3.44363,1.19033,0.000245246,0.000245246,0.000245246
3,6.5371,1.22473,2.66004,1.31992,0.83485,0.13487,0.27613,0.22185,1.1149,3.13067,1.23675,0.000363108,0.000363108,0.000363108
4,8.24572,1.22961,2.37318,1.3103,0.70964,0.23858,0.3815,0.30825,1.11875,2.46716,1.28588,0.000475906,0.000475906,0.000475906
5,9.93139,1.22477,2.17167,1.30826,0.62304,0.3638,0.42234,0.33105,1.1109,2.28046,1.26382,0.000511965,0.000511965,0.000511965
6,11.595,1.16237,1.95933,1.27284,0.62958,0.48112,0.51448,0.40538,1.08636,1.77962,1.21594,0.000500956,0.000500956,0.000500956
7,13.2628,1.16292,1.83947,1.24997,0.70495,0.51125,0.53744,0.41936,1.08083,1.68935,1.20878,0.000489947,0.000489947,0.000489947
8,14.9645,1.10675,1.75463,1.21838,0.65359,0.5541,0.58062,0.4631,1.0224,1.48578,1.14286,0.000478938,0.000478938,0.000478938
9,16.6293,1.0442,1.54911,1.17443,0.66652,0.54733,0.57782,0.46552,1.0074,1.50467,1.1392,0.00046793,0.00046793,0.00046793
10,18.2947,1.07998,1.59752,1.2101,0.79165,0.55444,0.6148,0.49846,0.95379,1.2913,1.10703,0.000456921,0.000456921,0.000456921
11,19.973,1.05645,1.5351,1.19851,0.77884,0.57314,0.62616,0.50415,0.94924,1.3106,1.10875,0.000445912,0.000445912,0.000445912
12,21.6793,1.05224,1.49708,1.18349,0.77003,0.57695,0.62852,0.50472,0.98718,1.30926,1.1279,0.000434903,0.000434903,0.000434903
13,23.4627,1.03149,1.44461,1.16893,0.79289,0.61173,0.6457,0.51894,0.9594,1.19835,1.10119,0.000423894,0.000423894,0.000423894
14,25.1393,0.98089,1.38418,1.14764,0.87076,0.56444,0.65854,0.53962,0.95242,1.22237,1.10732,0.000412886,0.000412886,0.000412886
15,26.8132,0.98517,1.35205,1.1414,0.80748,0.59538,0.6606,0.5362,0.93163,1.23869,1.11007,0.000401877,0.000401877,0.000401877
16,28.5392,0.97411,1.30377,1.13438,0.82391,0.63047,0.6734,0.55077,0.90516,1.14703,1.09282,0.000390868,0.000390868,0.000390868
17,30.2109,0.99075,1.33811,1.1424,0.83133,0.61672,0.67788,0.5529,0.91148,1.13758,1.07755,0.000379859,0.000379859,0.000379859
18,31.9216,0.91617,1.20575,1.08835,0.85573,0.59305,0.67715,0.54961,0.90898,1.10042,1.08353,0.00036885,0.00036885,0.00036885
19,33.5693,0.87937,1.25868,1.06815,0.84929,0.61902,0.68602,0.55549,0.88032,1.05715,1.06279,0.000357842,0.000357842,0.000357842
20,35.2125,0.91737,1.21317,1.10354,0.84135,0.61779,0.67845,0.553,0.88736,1.07217,1.07783,0.000346833,0.000346833,0.000346833
21,36.918,0.91591,1.19642,1.10262,0.83278,0.62497,0.6691,0.54294,0.89563,1.04951,1.07204,0.000335824,0.000335824,0.000335824
22,38.6455,0.92359,1.1751,1.09572,0.83872,0.62772,0.68754,0.56759,0.85496,0.99337,1.04129,0.000324815,0.000324815,0.000324815
23,40.3567,0.87103,1.09804,1.06773,0.83611,0.6438,0.6923,0.57586,0.84453,0.98006,1.04451,0.000313806,0.000313806,0.000313806
24,42.0826,0.91381,1.1696,1.09167,0.82202,0.61869,0.67139,0.54884,0.86907,1.07733,1.05749,0.000302798,0.000302798,0.000302798
25,43.7626,0.87838,1.10978,1.07886,0.89877,0.62075,0.70718,0.5835,0.834,0.94888,1.0456,0.000291789,0.000291789,0.000291789
26,45.465,0.91986,1.23536,1.14547,0.8449,0.65852,0.70936,0.58837,0.81128,0.92469,1.03428,0.00028078,0.00028078,0.00028078
27,47.1373,0.89826,1.15385,1.10097,0.82512,0.67194,0.70909,0.587,0.82547,0.95953,1.04041,0.000269771,0.000269771,0.000269771
28,48.7732,0.86634,1.12485,1.07719,0.8708,0.63317,0.70953,0.59055,0.80062,0.92551,1.02453,0.000258762,0.000258762,0.000258762
29,50.417,0.86513,1.10299,1.07034,0.82299,0.66941,0.72189,0.59821,0.81129,0.93369,1.02495,0.000247754,0.000247754,0.000247754
30,52.1352,0.878,1.10813,1.07507,0.84264,0.66464,0.72714,0.6021,0.79369,0.87931,1.01521,0.000236745,0.000236745,0.000236745
31,53.8444,0.87219,1.09348,1.07647,0.8617,0.64863,0.71372,0.59188,0.8066,0.93579,1.03103,0.000225736,0.000225736,0.000225736
32,55.5623,0.86039,1.07814,1.0632,0.84522,0.67151,0.72343,0.60149,0.78584,0.86561,1.01436,0.000214727,0.000214727,0.000214727
33,57.2074,0.85425,1.06716,1.07043,0.8201,0.68814,0.73699,0.61011,0.78861,0.88056,1.01949,0.000203718,0.000203718,0.000203718
34,58.872,0.86585,1.05942,1.08165,0.84021,0.64598,0.72877,0.604,0.7889,0.86072,1.01213,0.00019271,0.00019271,0.00019271
35,60.5359,0.85221,1.09216,1.0749,0.86055,0.65846,0.73559,0.61698,0.76038,0.81944,1.00122,0.000181701,0.000181701,0.000181701
36,62.232,0.83892,1.0237,1.07217,0.85899,0.66193,0.73941,0.61351,0.76935,0.83318,0.99798,0.000170692,0.000170692,0.000170692
37,63.9013,0.81348,0.98266,1.04091,0.83767,0.66863,0.74008,0.61464,0.76948,0.82475,0.99793,0.000159683,0.000159683,0.000159683
38,65.5898,0.81942,0.9927,1.05249,0.78486,0.6943,0.72594,0.60578,0.76014,0.85305,0.99754,0.000148674,0.000148674,0.000148674
