epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5207,1.52325,2.74015,1.70374,0.34539,0.38316,0.31777,0.25704,1.10884,2.20741,1.33146,0.00330189,0.00330189,0.00330189
2,61.8222,1.30409,1.64838,1.5257,0.50096,0.44287,0.45658,0.37814,1.08784,1.70122,1.32054,0.00661332,0.00661332,0.00661332
3,91.0282,1.25801,1.57376,1.51303,0.65416,0.34914,0.37935,0.30478,1.12685,1.96399,1.35291,0.00990276,0.00990276,0.00990276
4,119.92,1.24395,1.51914,1.51278,0.62994,0.36158,0.38741,0.30749,1.11915,1.80931,1.3601,0.009901,0.009901,0.009901
5,148.975,1.20587,1.44461,1.48589,0.48783,0.44138,0.4067,0.3263,1.12828,1.80422,1.39462,0.009868,0.009868,0.009868
6,178.025,1.14212,1.36191,1.44087,0.59182,0.50793,0.49954,0.40063,1.13443,1.62789,1.43924,0.009835,0.009835,0.009835
7,207.139,1.13043,1.33241,1.43607,0.52457,0.3501,0.34769,0.28048,1.16939,1.98016,1.4888,0.009802,0.009802,0.009802
8,236.14,1.0995,1.27836,1.41476,0.52938,0.5648,0.50917,0.42372,1.04899,1.48935,1.33555,0.009769,0.009769,0.009769
9,264.71,1.07481,1.26206,1.4059,0.49286,0.46556,0.42844,0.34074,1.01639,1.75089,1.37461,0.009736,0.009736,0.009736
10,293.385,1.06848,1.23737,1.40216,0.57038,0.54147,0.56872,0.46059,1.03925,1.42961,1.36596,0.009703,0.009703,0.009703
11,322.065,1.03727,1.18547,1.3787,0.38354,0.41302,0.3975,0.32234,1.02984,1.88398,1.40847,0.00967,0.00967,0.00967
12,350.652,1.01606,1.1586,1.35926,0.50215,0.56868,0.51991,0.44189,0.92962,1.41052,1.27224,0.009637,0.009637,0.009637
13,379.536,1.01425,1.15517,1.36285,0.61135,0.49368,0.51764,0.4213,1.01698,1.47148,1.36229,0.009604,0.009604,0.009604
14,408.74,0.99245,1.12792,1.34384,0.58634,0.53334,0.5782,0.48442,0.95548,1.43731,1.32549,0.009571,0.009571,0.009571
15,437.941,0.97882,1.11705,1.33844,0.63331,0.57007,0.59788,0.49907,0.96422,1.29721,1.31005,0.009538,0.009538,0.009538
16,467.07,0.96594,1.09033,1.32752,0.61033,0.5515,0.58993,0.50096,0.92771,1.31475,1.27398,0.009505,0.009505,0.009505
17,496.265,0.94413,1.06128,1.31381,0.63767,0.59391,0.62103,0.51601,0.93089,1.29245,1.26067,0.009472,0.009472,0.009472
18,525.116,0.94563,1.05131,1.31548,0.61744,0.5935,0.59252,0.49851,0.91774,1.35329,1.28062,0.009439,0.009439,0.009439
19,553.954,0.93046,1.05659,1.30813,0.28988,0.37257,0.278,0.23025,1.13427,2.49942,1.4824,0.009406,0.009406,0.009406
20,582.818,0.91182,1.00989,1.28991,0.70905,0.59733,0.62428,0.52029,0.85382,1.27813,1.25103,0.009373,0.009373,0.009373
